EV_second,EV_sweet16,EV_elite8,EV_final4,EV_champgame,EV_winner,team_seed,team_region,team_name
1.975264003496,4.016106533445,5.89206003986,7.633004743421,8.680507688088001,10.346815164378,1.0,East,Villanova
1.953591261362,4.201016391555,5.95332929001,7.878616313766,8.258386804416,9.55511789274,1.0,West,Gonzaga
1.959224072092,4.0278640071,5.56596438875,7.225683851653,7.639628437692,7.168444437279,1.0,Midwest,Kansas
2.900419136406,4.77346385096,6.172775901071001,6.951746381548,6.8977426768239996,6.135551306325,2.0,South,Kentucky
1.958550678992,3.993623563275,5.79841979626,5.672429398794,5.57252027262,4.828134078885,1.0,South,North Carolina
2.9007104830320003,5.459087810120001,6.631509391949001,5.441223479056,5.00667638579,4.999559822849999,2.0,East,Duke
2.9214543555090002,4.677298657297,6.047332025110999,4.9702390582569995,4.5437039705419995,3.73025608185,2.0,Midwest,Louisville
2.857504904895,3.977925543508,5.101893701632,3.703280970001,3.266678341541,3.2966273058,2.0,West,Arizona
4.50914757518,7.101610895148,4.86411364736,4.553596331471,3.456464931333,3.07397403978,4.0,West,West Virginia
3.766894570304,5.53084998966,3.333116585328,2.633821906581,2.424805853442,2.01362297733,3.0,South,UCLA
5.068601469006,6.39050997728,3.931801476834,3.35849608052,2.649533476912,2.309179255524,5.0,East,Virginia
5.902166301264,5.9593784194440005,7.210573493312,5.064131697972,3.0466788539219998,2.21328423561,7.0,West,Saint Mary's (CA)
4.298481555065,5.567418043616001,3.735697425221,3.293916028374,2.520597690222,1.748630624634,4.0,Midwest,Purdue
7.615941404180999,5.616985545458,5.5460824021490005,4.6115265472099995,3.5435891283300003,2.448163431651,10.0,South,Wichita State
5.527491874149,6.844494994995,4.94759337575,2.796739760217,2.05138551819,1.673507904453,6.0,East,Southern Methodist
4.98527778372,5.4504508553169995,3.637096805958,3.160965265675,2.322726750176,1.5488676842040001,5.0,Midwest,Iowa State
3.6139955396440002,4.145528832615,3.014824360176,1.7356311433529998,1.327998788204,1.132535345688,3.0,East,Baylor
3.689812579172,5.512778194635,3.373112155424,1.7815254048540001,1.357495415446,0.9347906697930001,3.0,Midwest,Oregon
4.4510295303300005,6.8213817221549995,4.396425623833,2.674740112999,1.6822064160299999,0.9590715730949999,4.0,South,Butler
4.374590261885,4.879271376111,2.4036122934010002,1.7775573221179999,1.201286187732,0.919148133351,4.0,East,Florida
3.501837349696,5.579532287145001,3.57727883664,1.8847776258179998,1.132506068992,0.8350469466029999,3.0,West,Florida State
4.395946190636,3.872428084305,2.5427228844000003,2.067740875941,1.458934578727,0.930750435945,6.0,South,Cincinnati
7.108182368451,3.348069740853,2.844425211442,2.072813705361,1.3713096614640001,1.016074124118,8.0,East,Wisconsin
5.067483117936,3.9049298181019996,3.8087331955400003,2.15276743571,1.40738602026,0.834192259425,7.0,Midwest,Michigan
4.528249003284,3.5985316307979995,1.8201484667299999,1.36066619416,0.804952781752,0.581938160289,5.0,West,Notre Dame
3.926014110655,3.290493228945,2.0658061872749998,1.096785719406,0.6514417869770001,0.351868478544,6.0,Midwest,Creighton
4.032210712838,2.29916510391,2.112745526798,1.101775229445,0.6655782357360001,0.36281505865200003,10.0,Midwest,Oklahoma State
4.961172638762999,2.120180817672,1.270225820415,0.751274060607,0.413307966444,0.206438883693,8.0,Midwest,Miami (FL)
4.551644151054,1.922646671729,1.649859281557,0.813977066483,0.420190484356,0.196976150565,8.0,South,Arkansas
5.45707184069,1.874790292242,1.111448161098,0.639133666374,0.28677517342000003,0.16212205269,9.0,West,Vanderbilt
5.26969009602,3.83146663465,1.85327043752,0.7589494802079999,0.38469829686,0.17625391634100002,11.0,Midwest,Rhode Island
4.464092244612,2.99416491905,1.4261040166,0.895901314655,0.5012110623739999,0.252784601853,11.0,South,Kansas State
4.538116582752,2.1740340033799996,1.300108563376,0.465542185479,0.20976240489599998,0.11176821400499999,7.0,East,South Carolina
4.94261760994,2.048564981841,1.530568058604,0.634339030047,0.289079121552,0.119935599849,9.0,South,Seton Hall
2.461133524232,1.19164124562,0.797677131832,0.46499898428099995,0.233625163794,0.10692677037,7.0,South,Dayton
4.7600896987159995,1.989047553016,1.259733981468,0.47619494482999997,0.22475184210000002,0.12343576932,10.0,East,Marquette
4.487585956929999,1.685458665723,0.9488416220539999,0.529221869502,0.255424019816,0.112095041058,9.0,Midwest,Michigan State
4.464092244612,2.99416491905,1.4261040166,0.895901314655,0.5012110623739999,0.252784601853,11.0,South,Wake Forest
5.931380704332,4.1799900511749994,1.694939796,0.5588953739910001,0.210846962304,0.102231574296,11.0,West,Xavier
2.884521335762,1.7538679498419998,1.332428761587,0.469077356,0.18768430822499999,0.095991391983,10.0,West,Virginia Commonwealth
6.245690873162,4.439110491063,1.881648087249,0.751127886684,0.294848096907,0.105284424645,12.0,South,Middle Tennessee
3.540027922473,2.594651920515,1.071462174925,0.36578191817699995,0.14432071752199999,0.074075554674,6.0,West,Maryland
4.088635343379,1.261105656423,0.687073309495,0.36773233499799995,0.151879084627,0.08040188529900001,8.0,West,Northwestern
3.1173734431559996,2.399580516775,0.935651954556,0.35428976632,0.158544810032,0.065142896157,5.0,South,Minnesota
2.524299644316,1.7431695661750002,0.82947135008,0.30206222707600006,0.142037933422,0.078381811002000007,11.0,East,Providence
2.524299644316,1.7431695661750002,0.82947135008,0.30206222707600006,0.142037933422,0.078381811002000007,11.0,East,Southern California
2.19856480194,1.047526518285,0.29556647871999997,0.12511839879,0.060227060075,0.026184875535,12.0,Midwest,Nevada
3.1887938262180002,1.326963371661,0.316067689684,0.124911439758,0.037222469193,0.014687661285,12.0,West,Princeton
2.018030150487,1.136988801909,0.257467551253,0.099454571118,0.0339978548,0.0139582845,12.0,East,North Carolina-Wilmington
2.10201959061,0.408916012638,0.179387240812,0.069705124395,0.024425278696,0.010346766650999999,9.0,East,Virginia Tech
1.964251645818,1.03844238432,0.253135215942,0.094117198502,0.031931319264,0.009879785259,13.0,Midwest,Vermont
1.374386789496,0.824820683718,0.150698600288,0.047121488868,0.011065981152,0.003530950059,13.0,West,Bucknell
1.751147266722,0.659503151188,0.113495870242,0.034626061898,0.00969060816,0.003314503074,13.0,East,East Tennessee State
1.537117315076,0.89551340395,0.179184300342,0.034986782729,0.007493666688,0.001494892434,13.0,South,Winthrop
1.86810993864,1.2361427117569999,0.21512182561100002,0.03148334753,0.005563158376,0.001370521278,14.0,West,Florida Gulf Coast
1.447516726335,0.41413632480400003,0.081716227929,0.012216102593,0.0032960767229999995,0.001087812201,14.0,East,New Mexico State
1.163202828105,0.46017047388500004,0.080891318172,0.012819678989,0.002759857421,5.49065874e-4,14.0,Midwest,Iona
0.8741453613600001,0.23351193951000002,0.031107791120000002,0.006813701517,0.001302600636,2.32419642e-4,14.0,South,Kent State
0.529544090496,0.19026583319700002,0.034832743816,0.003677480325,5.58255148e-4,1.07979444e-4,15.0,East,Troy
0.531097939168,0.12418843849500001,0.024561748016,0.004614257625,7.2630723e-4,1.0719363600000001e-4,15.0,South,Northern Kentucky
0.394474278423,0.14514540495,0.024601141785,0.004373112545,5.80001307e-4,1.09239201e-4,16.0,West,South Dakota State
0.75997384056,0.16229803824300001,0.042245723312,0.004414641675,5.41793454e-4,9.5134635e-5,15.0,West,North Dakota
0.352319228568,0.088642534155,0.01897611628,0.001984350282,2.6027268900000004e-4,3.2123406e-5,16.0,South,Texas Southern
0.418910103952,0.07091777061599999,0.013459475848,0.00126810915,1.63288548e-4,1.965438e-5,15.0,Midwest,Jacksonville State
0.346595387218,0.09025793104999999,0.01136374602,0.0015696871819999999,2.1958242000000002e-4,2.8731458999999995e-5,16.0,Midwest,North Carolina Central
0.346595387218,0.09025793104999999,0.01136374602,0.0015696871819999999,2.1958242000000002e-4,2.8731458999999995e-5,16.0,Midwest,UC-Davis
0.210255970267,0.038230687109999995,0.004574382395,5.05174427e-4,5.2163784e-5,6.988527e-6,16.0,East,Mount St. Mary's
0.210255970267,0.038230687109999995,0.004574382395,5.05174427e-4,5.2163784e-5,6.988527e-6,16.0,East,New Orleans
